Year,Lg,Champion,Finals MVP,Points Leader,Points,Rebounds Leader,Rebounds,Assists Leader,Assists,Win Shares Leader,Win Shares
2017,NBA,GSW,Kevin Durant,LeBron James ,591,Kevin Love ,191,LeBron James ,141,LeBron James ,4.3
2016,NBA,CLE,LeBron James,Klay Thompson ,582,Danny Green ,228,Russell Westbrook ,198,LeBron James ,4.7
2015,NBA,GSW,Andre Iguodala,LeBron James ,601,Dwight Howard ,238,LeBron James ,169,Stephen Curry ,3.9
2014,NBA,SAS,Kawhi Leonard,Kevin Durant ,563,Tim Duncan ,211,Russell Westbrook ,153,LeBron James ,4.3
2013,NBA,MIA,LeBron James,LeBron James ,596,Tim Duncan ,214,LeBron James ,152,LeBron James ,5.2
2012,NBA,MIA,LeBron James,LeBron James ,697,LeBron James ,224,Rajon Rondo ,227,LeBron James ,5.8
2011,NBA,DAL,Dirk Nowitzki,Dirk Nowitzki ,582,Tyson Chandler ,193,Jason Kidd ,153,LeBron James ,3.8
2010,NBA,LAL,Kobe Bryant,Kobe Bryant ,671,Paul Gasol ,255,Rajon Rondo ,223,Paul Gasol ,4.3
2009,NBA,LAL,Kobe Bryant,Kobe Bryant ,695,Dwight Howard ,353,Rajon Rondo ,137,LeBron James ,4.8
2008,NBA,BOS,Paul Pierce,Kobe Bryant ,633,Kevin Garnett ,274,Rajon Rondo ,172,Kevin Garnett ,4.1
