player_name,team_abbreviation,age,player_height,pts,reb,season
Marreese Speights,GSW,27,81.87,10.4,4.3,2014-15
Ognjen Kuzmic,GSW,25,83.87,1.3,1.1,2014-15
Leandro Barbosa,GSW,32,74.88,7.1,1.4,2014-15
Brandon Rush,GSW,29,77.88,0.9,1.2,2014-15
Andrew Bogut,GSW,30,83.87,6.3,8.1,2014-15
Andre Iguodala,GSW,31,77.88,7.8,3.3,2014-15
Stephen Curry,GSW,27,74.88,23.8,4.3,2014-15
Shaun Livingston,GSW,29,78.87,5.9,2.3,2014-15
James Michael McAdoo,GSW,22,80.87,4.1,2.5,2014-15
Klay Thompson,GSW,25,78.87,21.7,3.2,2014-15
Justin Holiday,GSW,26,77.88,4.3,1.2,2014-15
David Lee,GSW,32,80.87,7.9,5.2,2014-15
Harrison Barnes,GSW,23,79.87,10.1,5.5,2014-15
Draymond Green,GSW,25,78.87,11.7,8.2,2014-15
Festus Ezeli,GSW,25,82.87,4.4,3.4,2014-15
